185	818	15
196	-740	94
195	102	84
179	52	33
194	-716	76
198	302	101
198	414	96
195	-526	17
180	-534	35
185	818	24
195	52	26
179	-526	30
180	-418	44
194	-716	73
173	102	53
185	-740	67
171	178	39
198	-682	42
185	818	20
195	-526	7
179	52	54
171	302	64
198	712	84
186	-418	18
191	102	68
175	560	35
192	948	74
195	-526	14
186	818	52
185	-418	16
175	962	24
179	-394	37
186	302	73
196	102	88
182	-420	52
173	-732	50
195	-526	22
185	962	18
175	-418	17
179	-152	44
173	238	54
170	818	28
192	-420	49
186	294	73
183	-992	32
