200	-134	85
185	-936	58
182	-138	48
194	-568	71
192	676	73
199	438	91
196	782	35
187	-98	51
196	-616	59
196	782	47
182	-98	46
187	-138	60
185	186	69
196	506	77
176	-568	49
180	676	64
177	-842	34
181	348	24
181	348	12
177	-98	36
182	-842	35
196	544	62
176	906	26
175	-138	43
198	676	93
177	586	49
200	-96	58
181	348	13
176	-842	56
182	906	14
177	-748	61
175	322	52
179	586	67
199	-96	50
196	-936	85
183	-844	55
181	348	19
182	-96	38
199	906	66
175	504	39
183	496	26
176	-842	45
178	-748	52
180	204	21
182	-922	56
