170	-1000	49
170	-960	51
170	-920	54
170	-880	48
170	-840	55
170	-800	57
170	-760	48
170	-720	52
170	-680	44
170	-640	113
170	-600	68
170	-560	56
170	-520	52
170	-480	50
170	-440	52
170	-400	61
170	-360	49
170	-320	53
170	-280	52
170	-240	51
170	-200	52
170	-160	46
170	-120	47
170	-80	36
170	-40	30
170	0	37
170	40	31
170	80	38
170	120	51
170	160	16
170	200	21
170	240	25
170	280	23
170	320	35
170	360	32
170	400	16
170	440	27
170	480	28
170	520	32
170	560	40
170	600	39
170	640	54
170	680	31
170	720	47
170	760	53
170	800	50
170	840	55
170	880	61
170	920	54
170	960	56
170	1000	52
180	-1000	37
180	-960	43
180	-920	42
180	-880	50
180	-840	43
180	-800	56
180	-760	66
180	-720	55
180	-680	65
180	-640	62
180	-600	68
180	-560	70
180	-520	61
180	-480	74
180	-440	69
180	-400	67
180	-360	70
180	-320	61
180	-280	60
180	-240	61
180	-200	54
180	-160	55
180	-120	49
180	-80	57
180	-40	43
180	0	50
180	40	59
180	80	53
180	120	50
180	160	44
180	200	41
180	240	44
180	280	33
180	320	30
180	360	27
180	400	20
180	440	16
180	480	9
180	520	6
180	560	4
180	600	8
180	640	11
180	680	14
180	720	23
180	760	29
180	800	33
180	840	37
180	880	50
180	920	45
180	960	58
180	1000	59
190	-1000	4
190	-960	3
190	-920	12
190	-880	17
190	-840	28
190	-800	37
190	-760	44
190	-720	52
190	-680	53
190	-640	72
190	-600	66
190	-560	79
190	-520	85
190	-480	76
190	-440	89
190	-400	79
190	-360	82
190	-320	89
190	-280	79
190	-240	84
190	-200	72
190	-160	76
190	-120	76
190	-80	68
190	-40	76
190	0	64
190	40	63
190	80	67
190	120	61
190	160	63
190	200	60
190	240	51
190	280	61
190	320	38
190	360	46
190	400	39
190	440	44
190	480	38
190	520	16
190	560	21
190	600	14
190	640	7
190	680	3
190	720	4
190	760	5
190	800	2
190	840	4
190	880	15
190	920	22
190	960	30
190	1000	38
200	-1000	65
200	-960	37
200	-920	43
200	-880	30
200	-840	33
200	-800	9
200	-760	20
200	-720	21
200	-680	27
200	-640	30
200	-600	44
200	-560	57
200	-520	67
200	-480	72
200	-440	81
200	-400	96
200	-360	92
200	-320	91
200	-280	98
200	-240	99
200	-200	112
200	-160	115
200	-120	105
200	-80	110
200	-40	100
200	0	109
200	40	89
